#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1.6913922362398784e+18,11.2576,-2.27194,0.522859,0.986684,-0.024741,-0.00300398,-0.160726,1.41243,-0.487544,0.0248229,-0.0106115,0.00146634,-0.000115898,0.346653,0.0297043,-0.141106
1.6913922363482826e+18,11.419,-2.32684,0.525634,0.98666,-0.0255876,-0.00351152,-0.160734,1.59717,-0.555599,0.0376045,-0.0444049,-0.0339614,-0.000522292,2.48167,-1.13793,0.323144
1.6913922364648596e+18,11.6165,-2.39391,0.530969,0.986546,-0.029638,-0.00573391,-0.160675,1.73341,-0.61378,0.0541374,-0.0661469,-0.0527793,0.000414671,-0.204676,0.0684494,0.0303807
1.691392236573183e+18,11.7968,-2.45568,0.536789,0.986429,-0.0327061,-0.00844034,-0.160679,1.61202,-0.559344,0.0650991,-0.0131197,-0.0748606,-0.00527184,-1.13387,0.666899,0.130606
1.6913922366817014e+18,11.9671,-2.51394,0.544014,0.986335,-0.0334372,-0.0129516,-0.160805,1.63636,-0.556798,0.0758416,0.00403652,-0.0898362,-0.00531152,1.60552,-0.535708,0.0966634
1.691392236789891e+18,12.1508,-2.57663,0.552199,0.986215,-0.0340437,-0.0180057,-0.160924,1.77378,-0.604076,0.0826595,0.00347311,-0.0945095,-0.00529322,0.365378,-0.137106,0.00866883
1.6913922368985e+18,12.3434,-2.64232,0.560823,0.986069,-0.0349442,-0.0228756,-0.161006,1.86023,-0.640112,0.0941834,-0.0270386,-0.0765661,-0.00134842,1.64412,-0.856211,0.396088
1.6913922370148874e+18,12.5761,-2.7212,0.572793,0.985844,-0.0398325,-0.0247946,-0.160964,2.13039,-0.770834,0.105319,-0.13872,-0.00969429,0.0030524,2.1331,-1.18318,-0.102273
1.691392237123222e+18,12.8159,-2.80394,0.583934,0.985654,-0.0453524,-0.0217903,-0.161102,2.18776,-0.776722,0.0954057,-0.0312739,0.100469,-0.00198796,-0.653853,0.777126,-0.256237
1.691392237231547e+18,13.0544,-2.88656,0.594105,0.985744,-0.0443813,-0.0149943,-0.1616,2.16364,-0.745199,0.0832501,0.00641439,0.137589,-0.00402259,0.747007,-0.218316,-0.0135898
1.6913922373400822e+18,13.304,-2.97234,0.60467,0.985769,-0.0435833,-0.00778392,-0.162171,2.36966,-0.827223,0.10734,-0.0451658,0.114206,-0.00493348,2.53256,-1.18603,0.395323
1.6913922374482583e+18,13.5776,-3.06595,0.617245,0.985538,-0.0479447,-0.00273998,-0.16251,2.54572,-0.925233,0.113293,-0.131148,0.0292082,-0.000129673,0.232685,-0.363132,0.387346
1.691392237556618e+18,13.8494,-3.16113,0.628427,0.985329,-0.0515174,-0.00454313,-0.16264,2.46328,-0.866414,0.0931562,-0.00687981,-0.092601,-0.00603002,-1.46855,0.7895,-0.232537
1.691392237673302e+18,14.1192,-3.25555,0.637528,0.985243,-0.0522598,-0.0105387,-0.162649,2.23138,-0.77781,0.0768656,0.00619497,-0.102746,-0.00534111,-2.28082,0.773057,-0.0940679
1.691392237781599e+18,14.3437,-3.33386,0.646002,0.985108,-0.0542738,-0.0141543,-0.162528,1.97167,-0.704071,0.0862701,-0.0418256,-0.0515859,-0.000115416,-2.42317,0.759817,-0.00516142
1.691392237889937e+18,14.5414,-3.40329,0.654772,0.984962,-0.0566294,-0.0158806,-0.162452,1.71933,-0.613781,0.085876,-0.0169146,-0.0197132,-0.000373351,-2.16269,0.971824,0.0503089
1.691392237998276e+18,14.7142,-3.4641,0.663607,0.98501,-0.0561369,-0.0158309,-0.162337,1.49032,-0.511712,0.0723947,0.0278223,0.0181266,0.00499568,-2.06726,0.829804,-0.165024
1.6913922381067858e+18,14.8635,-3.51626,0.670883,0.985165,-0.0543261,-0.0148805,-0.162101,1.27956,-0.435954,0.0591108,0.0299818,0.0232414,0.00515242,-1.8242,0.629348,-0.0894389
1.6913922382232847e+18,14.9907,-3.5608,0.677013,0.985311,-0.0525723,-0.0140396,-0.161867,1.00504,-0.340776,0.0477847,0.0311339,0.0139597,0.00446438,-0.108317,0.0960366,0.0296471
1.6913922383316237e+18,15.1078,-3.60169,0.682885,0.985453,-0.0506503,-0.0137382,-0.161642,1.19536,-0.402891,0.0586504,0.0363824,0.00935752,0.00416734,2.81655,-0.941269,0.147974
1.6913922384399606e+18,15.2564,-3.6533,0.690334,0.98561,-0.0482678,-0.0135193,-0.161433,1.51921,-0.508227,0.0718687,0.0521774,0.0151559,0.00344228,2.52456,-0.782512,0.0777843
1.6913922385482977e+18,15.4358,-3.71526,0.698865,0.985796,-0.0452343,-0.0129016,-0.161227,1.78116,-0.59634,0.0765181,0.0410365,0.0321132,0.00607785,2.73343,-1.0782,-0.0455516
